2026-09-18T22:08:31Z INFO Logging to /tmp/logs/update_2026-09-18T22-08-31Z.log.
2026-09-18T22:08:31Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-18T22:08:32Z INFO Processing 500 items (48508 already recorded).
2026-09-18T22:08:33Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-18T22:11:50Z INFO [84/500] 053dc7d7-c2ac-414b-955b-a79efee0cd85: 46 internal nodes; 3.1 s; peak memory 147 MiB.
2026-09-18T22:11:51Z INFO [85/500] 053e6ef2-3ebf-49e1-9da3-57ddb77d1990: 17 internal nodes; 1.0 s; peak memory 147 MiB.
2026-09-18T22:11:52Z INFO [86/500] 053e9ed8-46ca-41e4-9e7c-e5e9de09ebe8: 17 internal nodes; 0.8 s; peak memory 147 MiB.
2026-09-18T22:11:53Z INFO [87/500] 05400f8a-f2f2-4bda-95e5-16297d6de126: 27 internal nodes; 1.3 s; peak memory 147 MiB.
2026-09-18T22:11:55Z INFO [88/500] 05402c9f-9b58-45dc-b282-1ef28f4bd8e6: 31 internal nodes; 1.8 s; peak memory 147 MiB.
2026-09-18T22:11:56Z INFO [89/500] 0540d0a2-af25-4e17-9473-73124b45e55c: 18 internal nodes; 1.0 s; peak memory 147 MiB.
2026-09-18T22:11:57Z INFO [90/500] 05415d59-84fc-4182-9ea0-18feb7b787d7: 27 internal nodes; 1.3 s; peak memory 147 MiB.
2026-09-18T22:12:04Z INFO [91/500] 05415e0d-3f85-44d1-9bba-872eec02d63f: 154 internal nodes; 6.2 s; peak memory 147 MiB.
2026-09-18T22:12:10Z INFO [92/500] 05420548-7fb6-4c5f-92ac-c9abff1ca83d: 55 internal nodes; 6.3 s; peak memory 147 MiB.
2026-09-18T22:12:11Z INFO [93/500] 05421598-4e27-4717-aad1-49ba56fc2203: 26 internal nodes; 0.8 s; peak memory 147 MiB.
2026-09-18T22:12:12Z INFO [94/500] 054230ab-9160-4942-92f2-f80573d4cdfe: 27 internal nodes; 1.2 s; peak memory 147 MiB.
2026-09-18T22:12:13Z INFO [95/500] 05425364-7175-4a4f-b2d6-211aeb84856a: 17 internal nodes; 1.0 s; peak memory 147 MiB.
2026-09-18T22:12:14Z INFO [96/500] 054417af-0e57-41b0-92d4-3b8668768db0: 18 internal nodes; 0.9 s; peak memory 147 MiB.
2026-09-18T22:12:15Z INFO [97/500] 0544c5fb-e833-401a-8ef2-16d1fcb45cce: 29 internal nodes; 1.3 s; peak memory 147 MiB.
2026-09-18T22:12:27Z INFO [98/500] 0545f24a-8f1c-45ac-bee3-b69274ec3b20: 83 internal nodes; 12.3 s; peak memory 147 MiB.
2026-09-18T22:12:36Z INFO [99/500] 0545facd-6940-48d8-8e7c-7ac6ccfba2c9: 235 internal nodes; 8.5 s; peak memory 147 MiB.
2026-09-18T22:12:37Z INFO [100/500] 054734b4-61fd-4a5f-b87c-5763f75442bc: 17 internal nodes; 1.1 s; peak memory 147 MiB.
2026-09-18T22:12:37Z INFO [100/500] 054734b4-61fd-4a5f-b87c-5763f75442bc: checkpointed 48607 records.
2026-09-18T22:12:38Z INFO [101/500] 054846e7-f298-4c0d-9940-4292f25d045d: 30 internal nodes; 1.3 s; peak memory 147 MiB.
2026-09-18T22:12:40Z INFO [102/500] 05486d44-a3d7-4ae1-a3de-0d3b1383b95c: 27 internal nodes; 1.3 s; peak memory 147 MiB.
2026-09-18T22:12:41Z INFO [103/500] 0549f14c-5252-4c9f-ba51-f95bd719fd77: 18 internal nodes; 0.9 s; peak memory 147 MiB.
2026-09-18T22:12:42Z INFO [104/500] 054a1fa4-294e-4ad2-846e-c1b565146d8e: 19 internal nodes; 0.9 s; peak memory 147 MiB.
2026-09-18T22:12:42Z INFO [105/500] 054aadf7-5c0a-4bb4-872c-04fa146c88e2: 26 internal nodes; 0.8 s; peak memory 147 MiB.
2026-09-18T22:12:45Z INFO [106/500] 054b8570-9e11-4728-bb1f-556142d8a73c: 44 internal nodes; 2.8 s; peak memory 147 MiB.
2026-09-18T22:12:47Z INFO [107/500] 054bab49-330a-4605-9c5a-3984acfbbf05: 37 internal nodes; 2.0 s; peak memory 147 MiB.
2026-09-18T22:12:55Z INFO [108/500] 054c98c6-a4ad-4051-a558-ea4ef9c543c6: 214 internal nodes; 7.9 s; peak memory 147 MiB.
2026-09-18T22:12:56Z INFO [109/500] 054c9c41-f4c6-4e23-8203-42817016845e: 17 internal nodes; 1.0 s; peak memory 147 MiB.
2026-09-18T22:13:03Z INFO [110/500] 054cb21f-f9e2-4e56-a2d5-137493cdbf39: 160 internal nodes; 6.7 s; peak memory 147 MiB.
2026-09-18T22:13:04Z INFO [111/500] 054e0ed6-d959-44af-a2ba-f29377d6018a: 17 internal nodes; 1.0 s; peak memory 147 MiB.
2026-09-18T22:13:05Z INFO [112/500] 054e72dc-52e0-4554-95b3-8e05884f557b: 17 internal nodes; 1.0 s; peak memory 147 MiB.
2026-09-18T22:13:06Z INFO [113/500] 054f455c-ed91-47d5-b88c-814b41809ba8: 17 internal nodes; 1.0 s; peak memory 147 MiB.
2026-09-18T22:13:10Z INFO [114/500] 054f5566-37a0-4a2d-84d3-74b6a7e04603: 102 internal nodes; 4.0 s; peak memory 147 MiB.
2026-09-18T22:13:11Z INFO [115/500] 055010a4-892c-4e7f-a705-bbef378b2508: 17 internal nodes; 0.9 s; peak memory 147 MiB.
2026-09-18T22:13:13Z INFO [116/500] 05501e15-bfc6-4a4f-b291-cefda24f52e6: 29 internal nodes; 1.9 s; peak memory 147 MiB.
2026-09-18T22:13:18Z INFO [117/500] 0550927a-a423-4ffa-86f8-7fe737acd3ef: 134 internal nodes; 5.7 s; peak memory 147 MiB.
2026-09-18T22:13:19Z INFO [118/500] 0551ff6c-4f35-4893-a6d9-4aad9f4a8e44: 11 internal nodes; 0.7 s; peak memory 147 MiB.
2026-09-18T22:13:20Z INFO [119/500] 05527526-39ad-4591-a074-6b4a49bee1c3: 17 internal nodes; 1.1 s; peak memory 147 MiB.
2026-09-18T22:13:31Z INFO [120/500] 05549015-08b8-447d-b328-a8509d8aaa15: 70 internal nodes; 10.7 s; peak memory 147 MiB.
2026-09-18T22:13:32Z INFO [121/500] 055517ad-cee8-4c70-b256-3cbfa58f1833: 27 internal nodes; 1.2 s; peak memory 147 MiB.
2026-09-18T22:13:33Z INFO [122/500] 055561d0-2178-4976-ad61-5439d915cd42: 18 internal nodes; 0.9 s; peak memory 147 MiB.
2026-09-18T22:13:34Z INFO [123/500] 0555b960-ad44-4221-a70d-d5815edb7b29: 31 internal nodes; 1.4 s; peak memory 147 MiB.
2026-09-18T22:13:35Z INFO [124/500] 05569217-8dbe-4c77-bb46-d7193266a198: 17 internal nodes; 1.0 s; peak memory 147 MiB.
2026-09-18T22:13:36Z INFO [125/500] 0557035c-2ef1-4a1f-92bb-32535a25e041: 18 internal nodes; 0.8 s; peak memory 147 MiB.
2026-09-18T22:13:37Z INFO [126/500] 05579c36-0f7d-40f6-917c-eba444c7b22d: 18 internal nodes; 1.2 s; peak memory 147 MiB.
2026-09-18T22:13:39Z INFO [127/500] 0557a512-0e70-4a2d-9d54-9bc012533b82: 66 internal nodes; 1.6 s; peak memory 147 MiB.
2026-09-18T22:13:40Z INFO [128/500] 0557c384-5e5f-4a8c-810d-696a304c8ac5: 30 internal nodes; 1.1 s; peak memory 147 MiB.
2026-09-18T22:13:41Z INFO [129/500] 0558761e-232e-41ad-89c6-544dd65aeb45: 56 internal nodes; 1.3 s; peak memory 147 MiB.
2026-09-18T22:13:43Z INFO [130/500] 055914c0-3e1f-4713-88f9-86da4d166fc4: 27 internal nodes; 1.3 s; peak memory 147 MiB.
2026-09-18T22:13:48Z INFO [131/500] 055935fd-ff6b-43dd-8bb7-6cf0329d7097: 73 internal nodes; 5.5 s; peak memory 147 MiB.
2026-09-18T22:13:57Z INFO [132/500] 05597d7f-0d39-43d4-9fc7-ab1bdfc5bab0: 271 internal nodes; 8.3 s; peak memory 147 MiB.
2026-09-18T22:13:58Z INFO [133/500] 055a7acd-757a-4787-b48e-b9e597e90259: 52 internal nodes; 1.3 s; peak memory 147 MiB.
2026-09-18T22:14:00Z INFO [134/500] 055b9584-ba1d-4ba1-a5ff-4d3f32044e27: 31 internal nodes; 2.2 s; peak memory 147 MiB.
2026-09-18T22:14:02Z INFO [135/500] 055bf50c-9c4a-4852-8b3c-cf997c78b86d: 31 internal nodes; 1.5 s; peak memory 147 MiB.
2026-09-18T22:14:03Z INFO [136/500] 055cc73c-ed61-4982-b342-5c862e8102af: 27 internal nodes; 1.4 s; peak memory 147 MiB.
2026-09-18T22:14:04Z INFO [137/500] 055d1a52-5382-4dcb-aea5-2c4326f56dd1: 30 internal nodes; 1.4 s; peak memory 147 MiB.
2026-09-18T22:14:06Z INFO [138/500] 055d25ba-e711-4908-b440-2cfe0b213b4b: 31 internal nodes; 1.5 s; peak memory 147 MiB.
2026-09-18T22:14:07Z INFO [139/500] 055d4513-2689-40fa-ada9-c6af828c4e46: 17 internal nodes; 0.9 s; peak memory 147 MiB.
2026-09-18T22:14:08Z INFO [140/500] 055d45dd-05a2-4fe6-ae00-b8a677808326: 27 internal nodes; 1.2 s; peak memory 147 MiB.
2026-09-18T22:14:09Z INFO [141/500] 055dbc00-4816-4846-b6cf-809d861295de: 19 internal nodes; 1.1 s; peak memory 147 MiB.
2026-09-18T22:14:11Z INFO [142/500] 055eef36-42e3-45fa-8a84-a8cb54ad6820: 31 internal nodes; 1.7 s; peak memory 147 MiB.
2026-09-18T22:14:18Z INFO [143/500] 055f3d81-a5b3-4f81-b5eb-8ebc297a76d6: 65 internal nodes; 6.9 s; peak memory 147 MiB.
2026-09-18T22:14:21Z INFO [144/500] 0560c9cd-6f1e-4ffb-8edf-a49075542b21: 55 internal nodes; 3.0 s; peak memory 147 MiB.
2026-09-18T22:14:24Z INFO [145/500] 0560da8d-d103-4f9c-8dd4-393db2c06f76: 46 internal nodes; 3.4 s; peak memory 147 MiB.
2026-09-18T22:14:25Z INFO [146/500] 05614d0b-9e92-4cc8-b856-aea020cdccbd: 19 internal nodes; 1.0 s; peak memory 147 MiB.
2026-09-18T22:14:26Z INFO [147/500] 056211f7-b3fa-49a4-8b3b-814e88145c83: 17 internal nodes; 1.0 s; peak memory 147 MiB.
2026-09-18T22:14:27Z INFO [148/500] 056294e5-2a3c-4bc7-bed4-a96e8a5bc241: 90 internal nodes; 1.1 s; peak memory 147 MiB.
2026-09-18T22:14:28Z INFO [149/500] 05644636-ec78-4cec-acc2-e4d4992e9ea9: 17 internal nodes; 0.9 s; peak memory 147 MiB.
2026-09-18T22:14:29Z INFO [150/500] 05647297-e521-4f31-839c-7096e4249871: 17 internal nodes; 1.0 s; peak memory 147 MiB.
2026-09-18T22:14:29Z INFO [150/500] 05647297-e521-4f31-839c-7096e4249871: checkpointed 48657 records.
2026-09-18T22:14:32Z INFO [151/500] 0564dc83-63e2-4e56-a08b-607e898f4567: 44 internal nodes; 2.1 s; peak memory 147 MiB.
2026-09-18T22:14:32Z INFO [152/500] 05655bdf-f9ed-49db-bddb-4e131d6bcb26: 17 internal nodes; 1.0 s; peak memory 147 MiB.
2026-09-18T22:14:34Z INFO [153/500] 0567bd82-ef9b-43d3-b6c5-15ba2992353f: 22 internal nodes; 1.1 s; peak memory 147 MiB.
2026-09-18T22:14:35Z INFO [154/500] 0567d98b-bcb7-4215-8d89-50d1e53db260: 31 internal nodes; 1.5 s; peak memory 147 MiB.
2026-09-18T22:14:38Z INFO [155/500] 056809b9-ec62-4d18-b015-2b8e035992f7: 47 internal nodes; 3.0 s; peak memory 147 MiB.
2026-09-18T22:14:40Z INFO [156/500] 056825ee-cbba-4b55-8cfa-dfeabdf06bdd: 31 internal nodes; 1.5 s; peak memory 147 MiB.
2026-09-18T22:14:49Z INFO [157/500] 05686132-b34a-4ad4-8356-465144aeec75: 57 internal nodes; 9.3 s; peak memory 147 MiB.
2026-09-18T22:14:50Z INFO [158/500] 0568e325-6bdb-4e76-8212-ab8df16ce98b: 61 internal nodes; 1.4 s; peak memory 147 MiB.
2026-09-18T22:14:52Z INFO [159/500] 056a05c1-4448-4f87-ab11-566663867bb0: 29 internal nodes; 1.5 s; peak memory 147 MiB.
2026-09-18T22:14:53Z INFO [160/500] 056a5946-98d9-4d9a-9df6-916fc54e586b: 19 internal nodes; 0.9 s; peak memory 147 MiB.
2026-09-18T22:14:59Z INFO [161/500] 056b5aa8-9d25-495c-a3cf-6785e2da0a90: 47 internal nodes; 6.1 s; peak memory 147 MiB.
2026-09-18T22:15:01Z INFO [162/500] 056c15ef-0adc-4997-9e27-e7d2ae549a2d: 30 internal nodes; 2.2 s; peak memory 147 MiB.
2026-09-18T22:15:02Z INFO [163/500] 056c3dbf-f28e-4cc0-a30c-5db22fc0009c: 17 internal nodes; 0.9 s; peak memory 147 MiB.
2026-09-18T22:15:03Z INFO [164/500] 056c4ccb-9287-42dc-9483-08b60e3855e2: 17 internal nodes; 1.0 s; peak memory 147 MiB.
2026-09-18T22:15:05Z INFO [165/500] 056df2cd-36f0-437d-a202-f30b722bcbc1: 25 internal nodes; 2.4 s; peak memory 147 MiB.
2026-09-18T22:15:14Z INFO [166/500] 056e644b-e09d-4912-9025-870ee76736a2: 88 internal nodes; 8.8 s; peak memory 147 MiB.
2026-09-18T22:15:15Z INFO [167/500] 056e6671-0c0f-47c6-bb74-09fc36a099fb: 62 internal nodes; 1.4 s; peak memory 147 MiB.
