2026-09-17T22:34:24Z INFO Logging to /tmp/logs/update_2026-09-17T22-34-24Z.log.
2026-09-17T22:34:24Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-17T22:34:24Z INFO Processing 500 items (47510 already recorded).
2026-09-17T22:34:25Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-17T22:37:27Z INFO [122/500] 0323b62c-bc7f-4806-9ad9-1696d2b42bb9: 83 internal nodes; 0.7 s; peak memory 210 MiB.
2026-09-17T22:37:27Z INFO [123/500] 0323c827-3c2a-4b92-98db-a7cac2f647c2: 13 internal nodes; 0.5 s; peak memory 210 MiB.
2026-09-17T22:37:28Z INFO [124/500] 0323f0ad-1a89-45ef-aaeb-cdcc6ef765df: 26 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:31Z INFO [125/500] 03254648-f5e8-4a29-b720-2ac3356e5a2f: 177 internal nodes; 2.9 s; peak memory 210 MiB.
2026-09-17T22:37:32Z INFO [126/500] 0326a20f-0453-4949-b951-637340e2a5aa: 51 internal nodes; 1.7 s; peak memory 210 MiB.
2026-09-17T22:37:33Z INFO [127/500] 03273dca-c55a-4ca9-868c-f1fbb2860e76: 17 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:33Z INFO [128/500] 0327aa4d-71e8-4f7d-8d9d-2e032fa568f5: 17 internal nodes; 0.4 s; peak memory 210 MiB.
2026-09-17T22:37:34Z INFO [129/500] 03286bbd-707b-4b66-925e-04609288a358: 116 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:35Z INFO [130/500] 032934d7-f9e2-43c8-be56-d6598ec75d69: 25 internal nodes; 0.8 s; peak memory 210 MiB.
2026-09-17T22:37:35Z INFO [131/500] 032952f0-410a-423c-be15-f17deb371265: 17 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:36Z INFO [132/500] 03297d06-7c90-42a4-b2ca-ca1c99cfc2b7: 27 internal nodes; 0.7 s; peak memory 210 MiB.
2026-09-17T22:37:37Z INFO [133/500] 032a5355-e71e-4389-b744-708ec235a859: 62 internal nodes; 0.9 s; peak memory 210 MiB.
2026-09-17T22:37:38Z INFO [134/500] 032a6458-d3de-48c2-8b3d-d2563f742a66: 66 internal nodes; 1.2 s; peak memory 210 MiB.
2026-09-17T22:37:39Z INFO [135/500] 032dcb2f-2af3-44c3-aa26-ad24f3b74f98: 17 internal nodes; 0.5 s; peak memory 210 MiB.
2026-09-17T22:37:39Z INFO [136/500] 032de5e9-9861-4d19-8fef-58f2781bf5ef: 27 internal nodes; 0.5 s; peak memory 210 MiB.
2026-09-17T22:37:40Z INFO [137/500] 032dffee-1ab3-4c02-ab04-7f37a305efa5: 42 internal nodes; 1.3 s; peak memory 210 MiB.
2026-09-17T22:37:41Z INFO [138/500] 032e2141-b01e-44e0-8143-9a2f093892fd: 27 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:42Z INFO [139/500] 032eb711-8a39-4b7f-a927-c9e5e94b9dae: 26 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:42Z INFO [140/500] 032f3a47-0dd7-43d1-a1e8-8c345fbc44ae: 17 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:43Z INFO [141/500] 032f4cf8-2f93-4bf6-a7eb-71866f271201: 31 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:46Z INFO [142/500] 0330349a-dfff-4bbd-9827-03414adb4d22: 52 internal nodes; 3.4 s; peak memory 210 MiB.
2026-09-17T22:37:47Z INFO [143/500] 03303c4c-c2f6-45f0-b66d-8938a09c6c17: 26 internal nodes; 0.4 s; peak memory 210 MiB.
2026-09-17T22:37:47Z INFO [144/500] 0330932f-e846-402d-8ee9-fa6148b98621: 25 internal nodes; 0.6 s; peak memory 210 MiB.
