2026-09-22T12:59:50Z INFO Logging to /tmp/logs/update_2026-09-22T12-59-50Z.log.
2026-09-22T12:59:50Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-22T12:59:50Z INFO Processing 500 items (51997 already recorded).
2026-09-22T12:59:52Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-22T12:59:52Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-22T12:59:54Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-22T12:59:54Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-22T13:04:52Z INFO [119/500] 0c9b3800-ac4e-4341-addb-7a92573a2b21: 11 internal nodes; 0.8 s; peak memory 152 MiB.
2026-09-22T13:04:53Z INFO [120/500] 0c9b9e53-44d5-4a91-98ac-91d648b0163c: 54 internal nodes; 1.5 s; peak memory 152 MiB.
2026-09-22T13:04:55Z INFO [121/500] 0c9c8dde-fa17-4a78-8cda-c1b7df8779de: 54 internal nodes; 2.1 s; peak memory 152 MiB.
2026-09-22T13:04:57Z INFO [122/500] 0c9d001e-c43d-45c7-b6fe-d1af429a52a4: 66 internal nodes; 1.8 s; peak memory 152 MiB.
2026-09-22T13:04:59Z INFO [123/500] 0c9d1ef4-f138-43f9-abc7-494438ecc23d: 19 internal nodes; 1.3 s; peak memory 152 MiB.
2026-09-22T13:05:00Z INFO [124/500] 0c9d9838-b9c7-46f0-8575-130e736964a0: 17 internal nodes; 1.1 s; peak memory 152 MiB.
2026-09-22T13:05:01Z INFO [125/500] 0c9e5114-b5e3-4a99-ba2d-5c3aba49be2e: 29 internal nodes; 1.4 s; peak memory 152 MiB.
2026-09-22T13:05:02Z INFO [126/500] 0c9e8607-8d70-46da-aa33-116ed04e5af7: 17 internal nodes; 1.1 s; peak memory 152 MiB.
2026-09-22T13:05:03Z INFO [127/500] 0c9ed46f-7820-4c98-bc18-249a1bc5651b: 13 internal nodes; 0.8 s; peak memory 152 MiB.
2026-09-22T13:05:04Z INFO [128/500] 0c9efdd2-12a5-4500-8a9d-a8365efac770: 29 internal nodes; 1.5 s; peak memory 152 MiB.
2026-09-22T13:05:05Z INFO [129/500] 0c9f1c15-311d-411d-8f2b-bb1bb79941b3: 24 internal nodes; 1.0 s; peak memory 152 MiB.
2026-09-22T13:05:07Z INFO [130/500] 0c9f1e96-ed7b-44a5-b2a3-7a1f2977bd5d: 86 internal nodes; 1.3 s; peak memory 152 MiB.
2026-09-22T13:05:08Z INFO [131/500] 0ca13239-b128-459e-887c-cfb6a615a7f8: 17 internal nodes; 1.1 s; peak memory 152 MiB.
2026-09-22T13:05:09Z INFO [132/500] 0ca1af61-a340-470b-af55-f682ab89c4f9: 26 internal nodes; 1.0 s; peak memory 152 MiB.
2026-09-22T13:05:10Z INFO [133/500] 0ca2789d-d620-4874-afaa-ea7928aafe8c: 13 internal nodes; 1.0 s; peak memory 152 MiB.
2026-09-22T13:05:23Z INFO [134/500] 0ca2aae7-becb-4500-9745-bcfbba902c5e: 225 internal nodes; 12.8 s; peak memory 152 MiB.
2026-09-22T13:05:23Z INFO [135/500] 0ca30142-13c5-4aa0-8588-7212ff6ba0a4: 17 internal nodes; 0.8 s; peak memory 152 MiB.
2026-09-22T13:05:30Z INFO [136/500] 0ca44c75-0ffa-4795-a239-5faf26c3276c: 61 internal nodes; 6.6 s; peak memory 152 MiB.
2026-09-22T13:05:32Z INFO [137/500] 0ca478d2-3906-4172-8c06-d7691e51a7ee: 69 internal nodes; 1.7 s; peak memory 152 MiB.
2026-09-22T13:05:43Z INFO [138/500] 0ca489dc-8c49-4444-a3ca-5298b181c683: 274 internal nodes; 11.7 s; peak memory 152 MiB.
2026-09-22T13:05:44Z INFO [139/500] 0ca583e0-5190-4d42-b56b-79a77480d764: 13 internal nodes; 0.8 s; peak memory 152 MiB.
2026-09-22T13:05:45Z INFO [140/500] 0ca5d8b2-d4cb-4372-81be-b3976818ef64: 11 internal nodes; 0.8 s; peak memory 152 MiB.
2026-09-22T13:05:46Z INFO [141/500] 0ca66fab-77c9-434c-bcbb-088dc4618c90: 17 internal nodes; 1.2 s; peak memory 152 MiB.
2026-09-22T13:05:47Z INFO [142/500] 0ca6803e-c0a6-49f8-b5fc-a1820abce9e5: 17 internal nodes; 1.0 s; peak memory 152 MiB.
2026-09-22T13:05:48Z INFO [143/500] 0ca6a9b7-e2da-4fbb-ac9f-82e7df213443: 17 internal nodes; 1.0 s; peak memory 152 MiB.
2026-09-22T13:05:50Z INFO [144/500] 0ca6af8a-dcaf-4580-9127-0b712b8a88df: 27 internal nodes; 1.4 s; peak memory 152 MiB.
2026-09-22T13:05:55Z INFO [145/500] 0ca7df4c-e21f-4188-b3bc-b2e2e8cb3115: 109 internal nodes; 5.2 s; peak memory 152 MiB.
2026-09-22T13:05:56Z INFO [146/500] 0ca7f883-3a3f-4087-8d0c-029c8e98ee37: 31 internal nodes; 1.5 s; peak memory 152 MiB.
2026-09-22T13:05:58Z INFO [147/500] 0ca913fd-c6ca-4142-9eb9-82537e4f7303: 55 internal nodes; 1.4 s; peak memory 152 MiB.
2026-09-22T13:05:58Z INFO [148/500] 0caaa06c-58fa-47ee-810e-65e09c85ab2c: 11 internal nodes; 0.7 s; peak memory 152 MiB.
2026-09-22T13:06:00Z INFO [149/500] 0caae806-5d7e-4b81-873c-dc23cd2381e9: 17 internal nodes; 1.1 s; peak memory 152 MiB.
2026-09-22T13:06:01Z INFO [150/500] 0caaedce-7696-4563-815d-7ba5b0a35c95: 17 internal nodes; 1.1 s; peak memory 152 MiB.
2026-09-22T13:06:01Z INFO [150/500] 0caaedce-7696-4563-815d-7ba5b0a35c95: checkpointed 52145 records.
2026-09-22T13:06:08Z INFO [151/500] 0cab1578-d520-433a-9dac-acee68dfb0d9: 213 internal nodes; 7.2 s; peak memory 152 MiB.
2026-09-22T13:06:09Z INFO [152/500] 0cab82fe-9bf6-4b97-b7f7-e35fa3ef5b87: 13 internal nodes; 0.8 s; peak memory 152 MiB.
2026-09-22T13:06:10Z INFO [153/500] 0cac9995-0d51-4763-a046-6303bb40dd44: 27 internal nodes; 1.3 s; peak memory 152 MiB.
2026-09-22T13:06:13Z INFO [154/500] 0cad0f68-5304-48c7-a7f6-b0adaf66e41a: 40 internal nodes; 2.7 s; peak memory 152 MiB.
2026-09-22T13:06:14Z INFO [155/500] 0cade163-c2e0-4ca1-88f9-a802b803a264: 27 internal nodes; 1.2 s; peak memory 152 MiB.
