2026-09-25T13:09:20Z INFO Logging to /tmp/logs/update_2026-09-25T13-09-20Z.log.
2026-09-25T13:09:20Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-25T13:09:20Z INFO Processing 500 items (54974 already recorded).
2026-09-25T13:18:08Z INFO [148/500] 12be4017-fe3a-4ff7-9a36-03fb09c76774: 17 internal nodes; 1.0 s; peak memory 336 MiB.
2026-09-25T13:18:09Z INFO [149/500] 12be616e-1b83-4388-8283-736bbaff00b1: 17 internal nodes; 1.5 s; peak memory 336 MiB.
2026-09-25T13:18:20Z INFO [150/500] 12bf7739-7e21-40ba-8df1-03cf2a90ffc0: 198 internal nodes; 11.0 s; peak memory 336 MiB.
2026-09-25T13:18:20Z INFO [150/500] 12bf7739-7e21-40ba-8df1-03cf2a90ffc0: checkpointed 55119 records.
2026-09-25T13:18:21Z INFO [151/500] 12c1875d-23c5-4f55-90d4-bd3dbb3357e3: 17 internal nodes; 1.1 s; peak memory 336 MiB.
2026-09-25T13:18:24Z INFO [152/500] 12c1a2e7-ae3a-45f1-988b-e20dcf712ba9: 215 internal nodes; 2.7 s; peak memory 336 MiB.
2026-09-25T13:18:25Z INFO [153/500] 12c1ef84-b79c-4f26-bd43-a4120dcd50c9: 17 internal nodes; 1.1 s; peak memory 336 MiB.
2026-09-25T13:18:27Z INFO [154/500] 12c48191-926e-4e83-a70c-ba319c3e0ed1: 44 internal nodes; 2.1 s; peak memory 336 MiB.
2026-09-25T13:18:28Z INFO [155/500] 12c4932f-32d9-4f87-b9b3-ee8f59828554: 17 internal nodes; 1.0 s; peak memory 336 MiB.
2026-09-25T13:18:30Z INFO [156/500] 12c516b2-8fe3-4f31-8973-dd0032645137: 16 internal nodes; 1.1 s; peak memory 336 MiB.
2026-09-25T13:18:31Z INFO [157/500] 12c551f8-d824-433c-97c8-5fb86cef2584: 31 internal nodes; 1.6 s; peak memory 336 MiB.
2026-09-25T13:18:33Z INFO [158/500] 12c57e7b-9832-4f5a-b45a-f399ec28b1e4: 27 internal nodes; 1.6 s; peak memory 336 MiB.
2026-09-25T13:18:34Z INFO [159/500] 12c5e3da-c0a9-4288-b1ea-0d36af4f0171: 25 internal nodes; 0.9 s; peak memory 336 MiB.
2026-09-25T13:18:35Z INFO [160/500] 12c6d455-18d3-41d9-b16b-c4bebaba874d: 23 internal nodes; 1.2 s; peak memory 336 MiB.
2026-09-25T13:18:36Z INFO [161/500] 12c6d862-080c-420a-af1f-66aad06293fc: 27 internal nodes; 1.2 s; peak memory 336 MiB.
2026-09-25T13:18:37Z INFO [162/500] 12c70ee6-f562-4093-9ba8-63cfd1859179: 17 internal nodes; 1.0 s; peak memory 336 MiB.
2026-09-25T13:18:38Z INFO [163/500] 12c806dd-bbe0-4733-acd9-0cdd3719df2f: 27 internal nodes; 1.4 s; peak memory 336 MiB.
2026-09-25T13:18:39Z INFO [164/500] 12c87de7-bc37-4e50-bd5d-1013835678fa: 11 internal nodes; 0.8 s; peak memory 336 MiB.
2026-09-25T13:18:41Z INFO [165/500] 12c92aa1-f07a-49c0-8b2f-151a5bbc2bc2: 27 internal nodes; 1.3 s; peak memory 336 MiB.
2026-09-25T13:18:42Z INFO [166/500] 12c99230-73c2-40a8-ba72-c517e77b8eb0: 30 internal nodes; 1.4 s; peak memory 336 MiB.
