2026-09-21T22:57:22Z INFO Logging to /tmp/logs/update_2026-09-21T22-57-22Z.log.
2026-09-21T22:57:22Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-21T22:57:22Z INFO Processing 500 items (51499 already recorded).
2026-09-21T22:57:24Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T22:57:24Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-21T22:57:25Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T22:57:25Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-21T23:00:54Z INFO [79/500] 0b7f03a2-3f36-4a4f-80de-652124a3249e: 29 internal nodes; 1.7 s; peak memory 141 MiB.
2026-09-21T23:00:55Z INFO [80/500] 0b7f2a5c-363f-4ec0-8d4a-09589b51b9b7: 63 internal nodes; 1.5 s; peak memory 141 MiB.
2026-09-21T23:00:56Z INFO [81/500] 0b7f6f7b-c08a-4aef-92eb-1329d8b82cfd: 11 internal nodes; 0.7 s; peak memory 141 MiB.
2026-09-21T23:01:01Z INFO [82/500] 0b7fc2b5-4b1e-487f-a11a-872f2d39f4bb: 128 internal nodes; 5.1 s; peak memory 141 MiB.
2026-09-21T23:01:03Z INFO [83/500] 0b8001ec-83dc-45ea-9fd4-7ef9448c0033: 61 internal nodes; 1.5 s; peak memory 141 MiB.
2026-09-21T23:01:14Z INFO [84/500] 0b804af3-2ef9-4045-9ff3-309844490c4c: 385 internal nodes; 11.6 s; peak memory 150 MiB.
2026-09-21T23:01:24Z INFO [85/500] 0b808108-c583-41fc-a536-7fc6eee5cb43: 2049 internal nodes; 9.5 s; peak memory 213 MiB.
2026-09-21T23:01:25Z INFO [86/500] 0b8142f3-3e97-4e03-81d9-4dc1a485d9a9: 15 internal nodes; 0.9 s; peak memory 213 MiB.
2026-09-21T23:01:26Z INFO [87/500] 0b81a9fb-4f09-4b7c-94f9-fc1b87cca9a2: 58 internal nodes; 1.6 s; peak memory 213 MiB.
2026-09-21T23:01:27Z INFO [88/500] 0b829f6e-7172-4536-b106-23cddd9d3847: 27 internal nodes; 1.3 s; peak memory 213 MiB.
2026-09-21T23:01:29Z INFO [89/500] 0b83e688-6016-47f2-8189-f32e8fd2feca: 31 internal nodes; 1.7 s; peak memory 213 MiB.
2026-09-21T23:01:31Z INFO [90/500] 0b83ff71-5f75-455b-8724-a4880ffe4858: 54 internal nodes; 1.5 s; peak memory 213 MiB.
2026-09-21T23:01:34Z INFO [91/500] 0b849e94-e4fd-4c11-a3b5-956d2028b3dc: 46 internal nodes; 3.2 s; peak memory 213 MiB.
2026-09-21T23:01:35Z INFO [92/500] 0b84aa0b-216d-4b46-8e05-02e563038782: 27 internal nodes; 1.2 s; peak memory 213 MiB.
2026-09-21T23:01:36Z INFO [93/500] 0b84dd45-d75c-4edd-86d5-8521479ff72f: 27 internal nodes; 1.2 s; peak memory 213 MiB.
2026-09-21T23:01:37Z INFO [94/500] 0b855181-cab4-4e81-bd48-e8cfa4c93616: 13 internal nodes; 1.0 s; peak memory 213 MiB.
2026-09-21T23:01:39Z INFO [95/500] 0b857fae-5fef-4ddf-8726-e4f85d1a1e97: 17 internal nodes; 1.3 s; peak memory 213 MiB.
2026-09-21T23:01:40Z INFO [96/500] 0b8620ae-47a5-4966-92de-80b15f750f26: 59 internal nodes; 1.9 s; peak memory 213 MiB.
2026-09-21T23:01:42Z INFO [97/500] 0b866595-76c7-4940-b336-7cdf760e4b40: 60 internal nodes; 1.6 s; peak memory 213 MiB.
2026-09-21T23:01:43Z INFO [98/500] 0b8665e2-5e17-4135-9a88-b7440814dfaa: 15 internal nodes; 1.2 s; peak memory 213 MiB.
2026-09-21T23:01:45Z INFO [99/500] 0b86cca3-f54d-4a62-926c-3819822e7043: 31 internal nodes; 1.4 s; peak memory 213 MiB.
2026-09-21T23:01:45Z INFO [100/500] 0b86d09c-cc9f-4de4-9ae4-56ca0875a3ba: 11 internal nodes; 0.7 s; peak memory 213 MiB.
2026-09-21T23:01:46Z INFO [100/500] 0b86d09c-cc9f-4de4-9ae4-56ca0875a3ba: checkpointed 51597 records.
