2026-09-18T12:34:04Z INFO Logging to /tmp/logs/update_2026-09-18T12-34-04Z.log.
2026-09-18T12:34:05Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-18T12:34:05Z INFO Processing 500 items (48009 already recorded).
2026-09-18T12:39:25Z INFO [115/500] 04377cb5-db9e-42f2-a313-b2732d7e5974: 27 internal nodes; 1.4 s; peak memory 249 MiB.
2026-09-18T12:39:27Z INFO [116/500] 043968a8-73ee-481d-90d9-f17fe4498a6f: 31 internal nodes; 1.7 s; peak memory 249 MiB.
2026-09-18T12:39:28Z INFO [117/500] 043a4f0e-713e-4eec-a40c-d187d83995de: 23 internal nodes; 1.4 s; peak memory 249 MiB.
2026-09-18T12:39:29Z INFO [118/500] 043b70a5-efa9-4e4a-9391-6a20a7b99ddf: 27 internal nodes; 1.5 s; peak memory 249 MiB.
2026-09-18T12:39:31Z INFO [119/500] 043c6d04-da9f-4323-b4d6-dce8b4a7f831: 25 internal nodes; 1.6 s; peak memory 249 MiB.
2026-09-18T12:39:32Z INFO [120/500] 043c78fe-484d-4535-9ee3-c887e37e3c3d: 26 internal nodes; 0.9 s; peak memory 249 MiB.
2026-09-18T12:39:33Z INFO [121/500] 043d843c-f384-4d6b-82ea-be3f15c24b4d: 19 internal nodes; 1.3 s; peak memory 249 MiB.
2026-09-18T12:39:34Z INFO [122/500] 043d8d06-6c81-405a-abd8-635d5c8df643: 11 internal nodes; 1.1 s; peak memory 249 MiB.
2026-09-18T12:39:37Z INFO [123/500] 043e0f43-1849-4e1f-937e-321736b7bc05: 45 internal nodes; 3.0 s; peak memory 249 MiB.
2026-09-18T12:39:41Z INFO [124/500] 043eeced-2796-4445-97e1-64c32e7611be: 46 internal nodes; 3.7 s; peak memory 249 MiB.
2026-09-18T12:39:47Z INFO [125/500] 043f7b57-10ba-4894-9d74-3db51dd68bcb: 109 internal nodes; 5.9 s; peak memory 249 MiB.
2026-09-18T12:39:48Z INFO [126/500] 043f7c9b-917e-498d-b851-421e178a258e: 13 internal nodes; 1.4 s; peak memory 249 MiB.
2026-09-18T12:39:50Z INFO [127/500] 044004c6-7763-4dd2-ba98-e09509c035b7: 27 internal nodes; 1.5 s; peak memory 249 MiB.
2026-09-18T12:39:51Z INFO [128/500] 0440660f-4538-427a-b391-e74617a57890: 30 internal nodes; 1.6 s; peak memory 249 MiB.
2026-09-18T12:39:53Z INFO [129/500] 0440c9c0-9e20-424b-bca2-460aa41e2318: 23 internal nodes; 1.3 s; peak memory 249 MiB.
2026-09-18T12:40:01Z INFO [130/500] 044137a4-1c92-434c-b59c-95015df7c847: 211 internal nodes; 8.2 s; peak memory 249 MiB.
2026-09-18T12:40:03Z INFO [131/500] 04415616-1920-40bf-866d-bcf973505e48: 29 internal nodes; 1.9 s; peak memory 249 MiB.
2026-09-18T12:40:04Z INFO [132/500] 044220d9-a6ca-4615-9762-5fe2f4d66c59: 18 internal nodes; 1.3 s; peak memory 249 MiB.
2026-09-18T12:40:10Z INFO [133/500] 044299ee-6811-4bcf-86ff-85190115ffad: 123 internal nodes; 5.7 s; peak memory 249 MiB.
2026-09-18T12:40:11Z INFO [134/500] 0442bce5-6d21-4f25-ba4f-8733f6499773: 12 internal nodes; 1.1 s; peak memory 249 MiB.
2026-09-18T12:40:12Z INFO [135/500] 04438721-1cfb-421a-a09b-2636795a1958: 17 internal nodes; 1.0 s; peak memory 249 MiB.
2026-09-18T12:40:13Z INFO [136/500] 044510f3-bad8-4109-814c-d5163a9543bd: 17 internal nodes; 1.1 s; peak memory 249 MiB.
2026-09-18T12:40:15Z INFO [137/500] 04451465-318c-41c5-aa1d-754380546145: 62 internal nodes; 1.9 s; peak memory 249 MiB.
2026-09-18T12:40:22Z INFO [138/500] 04452f80-d8f8-417d-81c3-cbc363fd1c9f: 55 internal nodes; 7.1 s; peak memory 249 MiB.
2026-09-18T12:40:23Z INFO [139/500] 044540e1-2d8b-4010-8b23-cb4afc078b90: 13 internal nodes; 1.2 s; peak memory 249 MiB.
2026-09-18T12:40:25Z INFO [140/500] 04456bbc-1c7a-4b0d-b3d8-b56a8c5e4048: 17 internal nodes; 1.2 s; peak memory 249 MiB.
2026-09-18T12:40:26Z INFO [141/500] 0445f0de-a173-4744-ab28-55fc01a5fd21: 17 internal nodes; 1.2 s; peak memory 249 MiB.
2026-09-18T12:40:28Z INFO [142/500] 0445fe35-d8ff-4acc-a86c-12d39713e791: 66 internal nodes; 2.0 s; peak memory 249 MiB.
2026-09-18T12:40:29Z INFO [143/500] 04462012-4452-4ff8-85db-cbef81f57f72: 27 internal nodes; 1.5 s; peak memory 249 MiB.
2026-09-18T12:40:33Z INFO [144/500] 0446ca14-c873-4f84-b250-1b96eccce201: 45 internal nodes; 3.6 s; peak memory 249 MiB.
2026-09-18T12:40:36Z INFO [145/500] 04486d67-c753-4c24-b04f-4e93d0d96716: 44 internal nodes; 3.0 s; peak memory 249 MiB.
2026-09-18T12:40:43Z INFO [146/500] 0448c1f8-4d0e-48b0-895a-589a1820e451: 59 internal nodes; 7.4 s; peak memory 249 MiB.
2026-09-18T12:40:45Z INFO [147/500] 044998ad-f789-4343-a891-8528292b6cd9: 17 internal nodes; 1.2 s; peak memory 249 MiB.
2026-09-18T12:40:48Z INFO [148/500] 0449c5af-8a77-4a38-8065-d548f95b4dff: 55 internal nodes; 3.1 s; peak memory 249 MiB.
2026-09-18T12:40:49Z INFO [149/500] 044a9715-d1ed-4a40-ac46-f8637f4e66cd: 11 internal nodes; 1.0 s; peak memory 249 MiB.
2026-09-18T12:40:52Z INFO [150/500] 044adc93-86cc-49d5-8495-d2e5f10ed312: 46 internal nodes; 3.5 s; peak memory 249 MiB.
2026-09-18T12:40:53Z INFO [150/500] 044adc93-86cc-49d5-8495-d2e5f10ed312: checkpointed 48158 records.
2026-09-18T12:40:54Z INFO [151/500] 044af24c-d2fc-44f3-9fda-0dc7e4a73a28: 27 internal nodes; 1.7 s; peak memory 249 MiB.
2026-09-18T12:40:55Z INFO [152/500] 044b01c9-21e1-409f-bcfd-351b874af897: 18 internal nodes; 1.0 s; peak memory 249 MiB.
2026-09-18T12:41:03Z INFO [153/500] 044bdfb4-6a1b-415b-aa2d-23ad36f84196: 158 internal nodes; 8.0 s; peak memory 249 MiB.
2026-09-18T12:41:05Z INFO [154/500] 044be01e-5811-4b76-a732-d9bed920be29: 54 internal nodes; 2.2 s; peak memory 249 MiB.
2026-09-18T12:41:07Z INFO [155/500] 044c5801-e9ad-4b7a-b0a5-f69947f82342: 17 internal nodes; 1.2 s; peak memory 249 MiB.
2026-09-18T12:41:08Z INFO [156/500] 044c5964-f5a1-4d71-a804-90db99c7f80e: 17 internal nodes; 1.3 s; peak memory 249 MiB.
2026-09-18T12:41:09Z INFO [157/500] 044c9464-a2ba-41ed-81d9-53c1d907f464: 17 internal nodes; 1.1 s; peak memory 249 MiB.
2026-09-18T12:41:11Z INFO [158/500] 044dee1f-49af-4ed2-8645-0b9b81fab16f: 21 internal nodes; 1.8 s; peak memory 249 MiB.
2026-09-18T12:41:12Z INFO [159/500] 044e399f-0e2d-4686-96eb-6801127ac698: 17 internal nodes; 1.2 s; peak memory 249 MiB.
2026-09-18T12:41:14Z INFO [160/500] 044ea904-fb86-4d13-9442-b36c81d8d68a: 31 internal nodes; 1.9 s; peak memory 249 MiB.
2026-09-18T12:41:15Z INFO [161/500] 044ee5ae-23f4-42db-8361-91c659b67225: 11 internal nodes; 1.1 s; peak memory 249 MiB.
2026-09-18T12:41:16Z INFO [162/500] 044f461b-dba5-46ff-99da-90c42ba6b9df: 25 internal nodes; 1.3 s; peak memory 249 MiB.
2026-09-18T12:41:18Z INFO [163/500] 045036c2-5ca8-42f1-9305-89f0ce0aa161: 25 internal nodes; 1.5 s; peak memory 249 MiB.
2026-09-18T12:41:19Z INFO [164/500] 045070eb-6584-4172-8dc5-04c5c4030ddb: 29 internal nodes; 1.6 s; peak memory 249 MiB.
2026-09-18T12:41:23Z INFO [165/500] 0451d174-1073-4919-aa8e-eb03f58cd830: 31 internal nodes; 3.4 s; peak memory 249 MiB.
2026-09-18T12:41:24Z INFO [166/500] 045273e0-9348-4a4c-954d-b8f911d2154d: 17 internal nodes; 1.3 s; peak memory 249 MiB.
2026-09-18T12:41:27Z INFO [167/500] 04538c7d-4703-4d88-acd3-64f564a1fa32: 42 internal nodes; 2.5 s; peak memory 249 MiB.
2026-09-18T12:41:28Z INFO [168/500] 04539d86-adad-4089-bed1-799adee448fd: 17 internal nodes; 1.2 s; peak memory 249 MiB.
2026-09-18T12:41:29Z INFO [169/500] 0453a3f8-4962-46c7-b269-0da1c5fa78ae: 15 internal nodes; 1.1 s; peak memory 249 MiB.
2026-09-18T12:41:37Z INFO [170/500] 0453de80-88f3-40fd-b511-657504b9028e: 47 internal nodes; 7.8 s; peak memory 249 MiB.
2026-09-18T12:41:39Z INFO [171/500] 0453e8d5-db6f-48dd-82a7-cbaefb003139: 72 internal nodes; 2.2 s; peak memory 249 MiB.
2026-09-18T12:41:41Z INFO [172/500] 0454022f-74e4-47d1-8726-f1b520e65975: 31 internal nodes; 1.9 s; peak memory 249 MiB.
