2026-09-19T21:59:52Z INFO Logging to /tmp/logs/update_2026-09-19T21-59-52Z.log.
2026-09-19T21:59:52Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-19T21:59:52Z INFO Processing 500 items (49506 already recorded).
2026-09-19T21:59:53Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-19T22:03:31Z INFO [151/500] 07731772-cc4a-4818-b04f-7d7091a47371: 321 internal nodes; 7.2 s; peak memory 341 MiB.
2026-09-19T22:03:32Z INFO [152/500] 07735320-e4d4-43a7-ad2f-7386de7169fb: 115 internal nodes; 0.6 s; peak memory 341 MiB.
2026-09-19T22:03:32Z INFO [153/500] 0773df98-736e-4063-99f9-93a8b652c9c2: 18 internal nodes; 0.5 s; peak memory 341 MiB.
2026-09-19T22:03:33Z INFO [154/500] 077419b1-d88c-4171-9a33-e9c446ac84ca: 31 internal nodes; 0.7 s; peak memory 341 MiB.
2026-09-19T22:03:33Z INFO [155/500] 0774d0b7-da7a-4592-8a3f-a8dd1654c310: 28 internal nodes; 0.5 s; peak memory 341 MiB.
2026-09-19T22:03:36Z INFO [156/500] 0774dbd3-fdc5-47d8-a5b8-340178198f6b: 73 internal nodes; 2.6 s; peak memory 341 MiB.
2026-09-19T22:03:36Z INFO [157/500] 0774fd54-3dee-44e0-9245-e53eb1f92017: 22 internal nodes; 0.3 s; peak memory 341 MiB.
2026-09-19T22:03:37Z INFO [158/500] 077531a4-7bf6-432b-882d-d35b939db6db: 90 internal nodes; 0.6 s; peak memory 341 MiB.
2026-09-19T22:03:38Z INFO [159/500] 0775bc73-063b-480f-82cb-73012c79a7d4: 27 internal nodes; 0.6 s; peak memory 341 MiB.
2026-09-19T22:03:38Z INFO [160/500] 07762522-311e-4213-a000-f4b31470c550: 31 internal nodes; 0.8 s; peak memory 341 MiB.
2026-09-19T22:03:39Z INFO [161/500] 07762eb6-e357-4bd3-a565-67b81b6c85bc: 17 internal nodes; 0.6 s; peak memory 341 MiB.
