2026-09-19T12:11:45Z INFO Logging to /tmp/logs/update_2026-09-19T12-11-45Z.log.
2026-09-19T12:11:45Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-19T12:11:45Z INFO Processing 500 items (49007 already recorded).
2026-09-19T12:11:46Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-19T12:13:23Z INFO [92/500] 064bcd8d-ba08-4136-86c8-e3d2e489bb62: 17 internal nodes; 0.5 s; peak memory 146 MiB.
2026-09-19T12:13:24Z INFO [93/500] 064d012c-d950-478e-8f6f-95f65fe09ded: 19 internal nodes; 0.4 s; peak memory 146 MiB.
2026-09-19T12:13:25Z INFO [94/500] 064d5a9f-3b6b-4f84-8736-c99b7e9e32bb: 65 internal nodes; 1.5 s; peak memory 146 MiB.
2026-09-19T12:13:26Z INFO [95/500] 064d871c-e5ba-415b-b0e6-2fccd4f32196: 27 internal nodes; 0.5 s; peak memory 146 MiB.
2026-09-19T12:13:30Z INFO [96/500] 064d8e0b-280e-49b2-bfc9-ab14e6d837c4: 193 internal nodes; 4.6 s; peak memory 146 MiB.
2026-09-19T12:13:31Z INFO [97/500] 064dbccc-cac7-4909-8c3f-2cc127d8fe60: 11 internal nodes; 0.3 s; peak memory 146 MiB.
2026-09-19T12:13:31Z INFO [98/500] 064dfd3f-a6d3-4494-9842-30eb6ac2d533: 27 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:13:33Z INFO [99/500] 064e1660-1e68-4ade-a363-40abdc7ea611: 67 internal nodes; 1.4 s; peak memory 146 MiB.
2026-09-19T12:13:33Z INFO [100/500] 064fefac-41fe-4311-968c-265ebcf46d87: 29 internal nodes; 0.5 s; peak memory 146 MiB.
2026-09-19T12:13:33Z INFO [100/500] 064fefac-41fe-4311-968c-265ebcf46d87: checkpointed 49106 records.
2026-09-19T12:13:34Z INFO [101/500] 06508326-2418-47cd-b3fc-bea60f0c9e2e: 27 internal nodes; 0.7 s; peak memory 146 MiB.
2026-09-19T12:13:35Z INFO [102/500] 0650837b-7e7f-4e5e-ae30-433afc75e218: 31 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:13:35Z INFO [103/500] 06514b38-f075-4f13-971a-0c598258b934: 17 internal nodes; 0.5 s; peak memory 146 MiB.
2026-09-19T12:13:36Z INFO [104/500] 065286f4-88ef-48a8-b1f3-5b3c5af047c6: 27 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:13:36Z INFO [105/500] 06543034-a261-498b-a0e8-f7b3d32f359c: 19 internal nodes; 0.5 s; peak memory 146 MiB.
2026-09-19T12:13:37Z INFO [106/500] 0654a4f0-5300-4cc4-9f27-b8350bd04a36: 13 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:13:37Z INFO [107/500] 0654bbd6-3706-4d30-b4e7-bcfee7f1c3db: 17 internal nodes; 0.5 s; peak memory 146 MiB.
2026-09-19T12:13:44Z INFO [108/500] 06553df4-22a5-4c1c-8c62-d688b40edf2b: 197 internal nodes; 6.4 s; peak memory 146 MiB.
2026-09-19T12:13:48Z INFO [109/500] 0655595d-cce5-46c1-b57d-becc785c2660: 117 internal nodes; 4.3 s; peak memory 146 MiB.
2026-09-19T12:13:48Z INFO [110/500] 0655fca6-a89b-4fb0-b001-af59d773e192: 17 internal nodes; 0.4 s; peak memory 146 MiB.
2026-09-19T12:13:49Z INFO [111/500] 06564355-37a9-4e4e-a408-044fbb58d2ae: 58 internal nodes; 0.9 s; peak memory 146 MiB.
2026-09-19T12:13:50Z INFO [112/500] 06564d7c-eb5f-4c38-9839-0b683a842d88: 31 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:13:50Z INFO [113/500] 06566cfe-5f8b-4b83-9075-59629872c4cf: 17 internal nodes; 0.5 s; peak memory 146 MiB.
2026-09-19T12:13:53Z INFO [114/500] 0656b2ab-b374-40e0-bc3f-e24b4e8a0a65: 52 internal nodes; 3.0 s; peak memory 146 MiB.
2026-09-19T12:13:54Z INFO [115/500] 06572ae3-0f68-4e5b-9962-b62170a61fac: 17 internal nodes; 0.5 s; peak memory 146 MiB.
2026-09-19T12:13:54Z INFO [116/500] 06578be0-0314-4595-856e-067aba710103: 17 internal nodes; 0.3 s; peak memory 146 MiB.
2026-09-19T12:13:55Z INFO [117/500] 065875df-55d8-4785-abff-22e7c7d1e350: 31 internal nodes; 0.8 s; peak memory 146 MiB.
2026-09-19T12:13:56Z INFO [118/500] 06588843-144a-4294-a801-ae910f9ff18e: 31 internal nodes; 0.9 s; peak memory 146 MiB.
2026-09-19T12:13:57Z INFO [119/500] 065a21d1-8076-4e71-932d-1ba3fdf29136: 31 internal nodes; 0.7 s; peak memory 146 MiB.
